theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(2,1)",0.01,0.02,69,0.1,0.0,0.0,0.01,0.0,0.89
"(2,1)",0.01,0.02,70,0.1,0.0,0.0,0.01,0.0,0.89
"(3,1)",0.01,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(3,1)",0.01,0.02,2,0.99,0.01,0.0,0.0,0.0,0.0
"(3,1)",0.01,0.02,3,0.98,0.01,0.01,0.0,0.0,0.0
"(3,1)",0.01,0.02,4,0.81,0.17,0.01,0.01,0.0,0.0
"(3,1)",0.01,0.02,5,0.76,0.06,0.16,0.01,0.01,0.0
"(3,1)",0.01,0.02,6,0.66,0.1,0.12,0.1,0.01,0.01
"(3,1)",0.01,0.02,7,0.61,0.05,0.17,0.06,0.09,0.02
"(3,1)",0.01,0.02,8,0.51,0.1,0.18,0.06,0.04,0.11
"(3,1)",0.01,0.02,9,0.38,0.18,0.14,0.12,0.03,0.15
"(3,1)",0.01,0.02,10,0.3,0.12,0.25,0.05,0.1,0.18
"(3,1)",0.01,0.02,11,0.22,0.11,0.25,0.09,0.05,0.28
"(3,1)",0.01,0.02,12,0.2,0.04,0.28,0.06,0.09,0.33
"(3,1)",0.01,0.02,13,0.15,0.07,0.22,0.09,0.05,0.42
"(3,1)",0.01,0.02,14,0.11,0.05,0.21,0.08,0.08,0.47
"(3,1)",0.01,0.02,15,0.09,0.03,0.18,0.08,0.07,0.55
"(3,1)",0.01,0.02,16,0.09,0.0,0.17,0.04,0.08,0.62
"(3,1)",0.01,0.02,17,0.08,0.01,0.11,0.07,0.03,0.7
"(3,1)",0.01,0.02,18,0.08,0.0,0.07,0.07,0.05,0.73
"(3,1)",0.01,0.02,19,0.07,0.01,0.01,0.08,0.05,0.78
"(3,1)",0.01,0.02,20,0.07,0.0,0.02,0.02,0.06,0.83
"(3,1)",0.01,0.02,21,0.07,0.0,0.01,0.03,0.0,0.89
"(3,1)",0.01,0.02,22,0.07,0.0,0.01,0.02,0.01,0.89
"(3,1)",0.01,0.02,23,0.07,0.0,0.01,0.02,0.0,0.9
"(3,1)",0.01,0.02,24,0.07,0.0,0.01,0.02,0.0,0.9
"(3,1)",0.01,0.02,25,0.07,0.0,0.01,0.02,0.0,0.9
"(3,1)",0.01,0.02,26,0.07,0.0,0.01,0.02,0.0,0.9
"(3,1)",0.01,0.02,27,0.07,0.0,0.0,0.03,0.0,0.9
"(3,1)",0.01,0.02,28,0.07,0.0,0.0,0.02,0.01,0.9
"(3,1)",0.01,0.02,29,0.07,0.0,0.0,0.02,0.0,0.91
"(3,1)",0.01,0.02,30,0.07,0.0,0.0,0.02,0.0,0.91
"(3,1)",0.01,0.02,31,0.06,0.01,0.0,0.02,0.0,0.91
"(3,1)",0.01,0.02,32,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,33,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,34,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,35,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,36,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,37,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,38,0.06,0.0,0.01,0.02,0.0,0.91
"(3,1)",0.01,0.02,39,0.06,0.0,0.0,0.03,0.0,0.91
"(3,1)",0.01,0.02,40,0.06,0.0,0.0,0.02,0.01,0.91
"(3,1)",0.01,0.02,41,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,42,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,43,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,44,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,45,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,46,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,47,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,48,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,49,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,50,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,51,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,52,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,53,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,54,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,55,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,56,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,57,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,58,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,59,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,60,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,61,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,62,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,63,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,64,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,65,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,66,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,67,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,68,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,69,0.06,0.0,0.0,0.02,0.0,0.92
"(3,1)",0.01,0.02,70,0.06,0.0,0.0,0.02,0.0,0.92
"(5,1)",0.01,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(5,1)",0.01,0.02,2,1.0,0.0,0.0,0.0,0.0,0.0
"(5,1)",0.01,0.02,3,0.96,0.04,0.0,0.0,0.0,0.0
"(5,1)",0.01,0.02,4,0.83,0.14,0.03,0.0,0.0,0.0
"(5,1)",0.01,0.02,5,0.66,0.19,0.14,0.01,0.0,0.0
"(5,1)",0.01,0.02,6,0.52,0.2,0.18,0.09,0.01,0.0
"(5,1)",0.01,0.02,7,0.41,0.18,0.21,0.1,0.09,0.01
"(5,1)",0.01,0.02,8,0.3,0.19,0.15,0.18,0.08,0.1
"(5,1)",0.01,0.02,9,0.25,0.15,0.16,0.11,0.15,0.18
"(5,1)",0.01,0.02,10,0.15,0.19,0.14,0.09,0.1,0.33
"(5,1)",0.01,0.02,11,0.13,0.11,0.18,0.09,0.06,0.43
"(5,1)",0.01,0.02,12,0.12,0.08,0.11,0.15,0.05,0.49
"(5,1)",0.01,0.02,13,0.07,0.11,0.11,0.06,0.11,0.54
"(5,1)",0.01,0.02,14,0.05,0.08,0.09,0.13,0.0,0.65
"(5,1)",0.01,0.02,15,0.05,0.06,0.04,0.13,0.07,0.65
"(5,1)",0.01,0.02,16,0.05,0.06,0.02,0.08,0.07,0.72
"(5,1)",0.01,0.02,17,0.05,0.06,0.02,0.06,0.02,0.79
"(5,1)",0.01,0.02,18,0.04,0.06,0.03,0.06,0.0,0.81
"(5,1)",0.01,0.02,19,0.04,0.04,0.05,0.06,0.0,0.81
"(5,1)",0.01,0.02,20,0.04,0.04,0.03,0.08,0.0,0.81
"(5,1)",0.01,0.02,21,0.04,0.03,0.02,0.09,0.01,0.81
"(5,1)",0.01,0.02,22,0.04,0.02,0.03,0.08,0.01,0.82
"(5,1)",0.01,0.02,23,0.02,0.03,0.03,0.09,0.0,0.83
"(5,1)",0.01,0.02,24,0.02,0.0,0.05,0.09,0.01,0.83
"(5,1)",0.01,0.02,25,0.01,0.01,0.01,0.13,0.0,0.84
"(5,1)",0.01,0.02,26,0.01,0.0,0.02,0.1,0.03,0.84
"(5,1)",0.01,0.02,27,0.01,0.0,0.01,0.11,0.0,0.87
"(5,1)",0.01,0.02,28,0.01,0.0,0.01,0.1,0.01,0.87
"(5,1)",0.01,0.02,29,0.01,0.0,0.0,0.11,0.0,0.88
"(5,1)",0.01,0.02,30,0.01,0.0,0.0,0.1,0.01,0.88
"(5,1)",0.01,0.02,31,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,32,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,33,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,34,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,35,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,36,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,37,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,38,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,39,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,40,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,41,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,42,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,43,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,44,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,45,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,46,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,47,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,48,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,49,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,50,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,51,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,52,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,53,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,54,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,55,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,56,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,57,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,58,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,59,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,60,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,61,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,62,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,63,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,64,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,65,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,66,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,67,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,68,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,69,0.01,0.0,0.0,0.1,0.0,0.89
"(5,1)",0.01,0.02,70,0.01,0.0,0.0,0.1,0.0,0.89
"(9,1)",0.01,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(9,1)",0.01,0.02,2,1.0,0.0,0.0,0.0,0.0,0.0
"(9,1)",0.01,0.02,3,0.97,0.03,0.0,0.0,0.0,0.0
"(9,1)",0.01,0.02,4,0.76,0.22,0.02,0.0,0.0,0.0
"(9,1)",0.01,0.02,5,0.61,0.19,0.19,0.01,0.0,0.0
"(9,1)",0.01,0.02,6,0.4,0.33,0.13,0.13,0.01,0.0
"(9,1)",0.01,0.02,7,0.26,0.31,0.22,0.1,0.1,0.01
"(9,1)",0.01,0.02,8,0.19,0.26,0.23,0.15,0.06,0.11
"(9,1)",0.01,0.02,9,0.11,0.18,0.28,0.12,0.14,0.17
"(9,1)",0.01,0.02,10,0.08,0.13,0.24,0.14,0.1,0.31
"(9,1)",0.01,0.02,11,0.04,0.12,0.21,0.12,0.1,0.41
"(9,1)",0.01,0.02,12,0.02,0.09,0.16,0.16,0.07,0.5
"(9,1)",0.01,0.02,13,0.02,0.04,0.15,0.13,0.1,0.56
"(9,1)",0.01,0.02,14,0.01,0.05,0.09,0.12,0.08,0.65
"(9,1)",0.01,0.02,15,0.01,0.04,0.07,0.11,0.06,0.71
"(9,1)",0.01,0.02,16,0.0,0.03,0.04,0.13,0.04,0.76
"(9,1)",0.01,0.02,17,0.0,0.01,0.05,0.12,0.02,0.8
"(9,1)",0.01,0.02,18,0.0,0.01,0.02,0.14,0.01,0.82
"(9,1)",0.01,0.02,19,0.0,0.0,0.02,0.12,0.03,0.83
"(9,1)",0.01,0.02,20,0.0,0.0,0.01,0.13,0.0,0.86
"(9,1)",0.01,0.02,21,0.0,0.0,0.0,0.13,0.01,0.86
"(9,1)",0.01,0.02,22,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,23,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,24,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,25,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,26,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,27,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,28,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,29,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,30,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,31,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,32,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,33,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,34,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,35,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,36,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,37,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,38,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,39,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,40,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,41,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,42,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,43,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,44,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,45,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,46,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,47,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,48,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,49,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,50,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,51,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,52,0.0,0.0,0.0,0.13,0.0,0.87
"(9,1)",0.01,0.02,53,0.0,0.0,0.0,0.13,0.0,0.87
